season,num_games,num_teams,avg_winning_score,avg_losing_score,avg_margin,num_overtimes,overtime_pct
1985,3737,282,74.72303987155472,63.86031576130586,10.862724110248863,29,0.668985817500669
1986,3783,283,74.81363996827915,63.633888448321436,11.179751519957705,8,0.18503832936822628
1987,3915,290,77.99386973180077,66.77062579821201,11.223243933588762,33,0.6130268199233716
1988,3955,290,79.77370417193426,67.69709228824273,12.07661188369153,15,0.35398230088495575
1989,4037,293,81.7285112707456,69.5308397324746,12.197671538270994,23,0.5201882586078771
1990,4045,292,80.84647713226205,68.8336217552534,12.012855377008652,25,0.519159456118665
1991,4123,295,82.73393160320155,70.05723987387825,12.676691729323307,31,0.6306087800145526
1992,4127,298,79.99200387690817,67.1446571359341,12.847346740974073,13,0.242306760358614
1993,3982,298,79.50878955298845,67.30185836263185,12.206931190356604,19,0.42692114515318935
1994,4060,301,81.1603448275862,68.56133004926109,12.599014778325124,23,0.46798029556650245
1995,4077,302,80.09614912926172,67.39489820946774,12.701250919793965,33,0.6867794947265146
1996,4122,305,78.20548277535177,65.73750606501699,12.467976710334788,29,0.5579815623483746
1997,4155,305,76.30084235860409,63.74223826714802,12.558604091456077,33,0.7460890493381468
1998,4167,306,77.22990160787137,64.61291096712263,12.61699064074874,21,0.45596352291816655
1999,4222,310,76.04358124111795,63.42799621032686,12.615585030791094,34,0.6868782567503553
2000,4519,318,76.31046691745962,63.87076786899757,12.43969904846205,301,5.576454967913255
2001,4467,318,77.08865010073875,64.83322140138796,12.255428699350794,329,6.290575330199239
2002,4555,321,76.9635565312843,64.61427003293085,12.349286498353457,299,5.400658616904501
2003,4616,327,75.79506065857886,63.75693240901213,12.038128249566725,283,5.047660311958405
2004,4571,326,74.97112229271494,62.99015532706191,11.98096696565303,326,5.950557864799825
2005,4675,330,74.69368983957219,62.63529411764706,12.058395721925134,311,5.540106951871658
2006,4757,334,74.58755518183729,62.666596594492326,11.920958587344966,352,6.033214210636956
2007,5043,336,74.8294665873488,62.76164981162007,12.067816775728733,341,5.651397977394408
2008,5163,342,74.96242494673639,62.75537478210343,12.207050164632966,374,6.10110400929692
2009,5249,347,74.03372070870643,61.980377214707566,12.053343493998858,376,5.848733092017527
2010,5263,347,74.65247957438723,62.48432452973589,12.16815504465134,333,5.244157324719741
2011,5246,345,74.37418985894014,62.470644300419366,11.903545558520777,409,6.385817765916889
2012,5253,345,73.37997334856273,61.41595278888254,11.964020559680183,368,5.863316200266515
2013,5320,347,72.84078947368421,60.90808270676692,11.932706766917294,387,5.93984962406015
2014,5362,351,76.10126818351361,64.4520701230884,11.649198060425215,445,6.639313688922044
2015,5354,351,72.68079940231603,61.00784460216661,11.672954800149421,425,6.518490847964139
2016,5369,351,78.29595827900913,66.32706276774073,11.968895511268393,421,6.165021419258707
2017,5395,351,78.64578313253013,66.61519925857276,12.030583873957369,408,6.209453197405004
2018,5405,351,79.08029602220167,66.91914893617022,12.161147086031452,421,6.530989824236817
2019,5463,353,77.88742449203734,65.79059125022881,12.09683324180853,14,0.23796448837634998
2020,5328,353,76.17792792792793,64.23010510510511,11.947822822822824,358,5.574324324324325
2021,3855,347,76.8083009079118,64.80700389105058,12.00129701686122,260,5.525291828793774
2022,5345,358,75.92011225444341,64.17062675397568,11.749485500467728,377,5.855940130963518
2023,5602,363,76.61888611210281,64.87183148875401,11.747054623348804,405,6.26561942163513
2024,5607,362,78.64508649901909,66.57267701087926,12.072409488139826,392,5.974674514000356
2025,5641,364,78.8751994327247,66.68392129055133,12.191278142173374,382,5.584116291437688
2026,3893,365,81.57076804520935,68.35628050346776,13.214487541741587,253,5.497045979964038
