Season,Team1,Team2,Target,GameType,WinPct_Diff,AvgPointsFor_Diff,AvgPointsAgainst_Diff,AvgMargin_Diff,eFG_Off_Diff,TORate_Off_Diff,ORBRate_Off_Diff,FTRate_Off_Diff,Elo_RegSeason_Diff,POM_Rank_Diff,SAG_Rank_Diff,Composite_Rank_Diff,SeedNum_Diff
2003,1411,1421,0,Tournament,0.15172413793103445,1.5931034482758548,-7.614942528735639,9.208045977011494,0.0015694510071272982,-0.013374189538066406,0.0116772723525283,0.024747416965088642,8.133328160916108,-5.0,6.0,-1.0625,0.0
2003,1112,1436,1,Tournament,0.23768472906403948,17.42118226600985,7.112068965517238,10.309113300492612,-0.00414606822605651,-0.026102850606406908,0.016574789361787412,0.021794949854214096,110.12675192789197,-141.0,-156.0,-150.4485294117647,-15.0
2003,1113,1272,1,Tournament,-0.1724137931034483,1.448275862068968,3.3448275862068897,-1.8965517241379217,0.023070125145256415,0.012132797875035711,0.0303988796143978,0.03211668555720498,-71.30830901937247,12.0,8.0,14.294117647058822,3.0
2003,1141,1166,1,Tournament,-0.08568443051201668,0.10240334378264038,8.908045977011497,-8.805642633228857,-0.005117496209215422,0.0539687106010428,0.0009923917494065182,0.118141662754045,-15.206869286188521,23.0,30.0,24.952205882352946,5.0
2003,1143,1301,1,Tournament,0.12413793103448278,2.0827586206896456,1.7586206896551744,0.3241379310344712,-0.014405934406997,-0.016955086131239,0.020106273749167902,-0.07513806927942857,-7.321485652053525,-8.0,-6.0,-13.90625,-1.0
2003,1140,1163,0,Tournament,0.041935483870967794,-7.581720430107524,-7.722580645161294,0.14086021505377033,-0.0006541116176086437,-2.7522970522941836e-06,-0.0466899809513629,0.11980245614420718,2.1357653656305047,3.0,5.0,1.09375,7.0
2003,1161,1181,0,Tournament,-0.2333333333333334,-7.966666666666669,2.2666666666666657,-10.233333333333336,0.04453217163448264,0.04460666712795719,-0.01223910190068317,0.015191233025960926,-48.857631447768654,79.0,79.0,72.32536764705883,11.0
2003,1153,1211,0,Tournament,-0.13479262672811065,-9.743087557603687,-6.693548387096769,-3.049539170506918,-0.06771185711269212,-0.04214992347827551,-0.013279214445645782,-0.0711201937742224,-42.913861691717784,-6.0,3.0,-0.65625,-1.0
2003,1228,1443,1,Tournament,0.058064516129032295,2.3365591397849528,-5.019354838709681,7.355913978494636,-0.003663903105089128,-0.02130518916128399,-0.06548524741900352,0.027590835419240095,22.985823073197935,-47.0,-49.0,-45.5625,-9.0
2003,1242,1429,1,Tournament,0.03333333333333344,15.36666666666666,6.266666666666659,9.100000000000001,0.011029819571924837,-0.0038750078247224984,-0.009989355163769309,-0.019899178987395794,90.08583459935494,-105.0,-97.0,-84.37316176470588,-13.0
